record_status,supplier,legal_licensee,ofgem_seg_status,tariff,rate_p_per_kwh,rate_type,import_supplier_required,installer_or_purchase_required,battery_required,system_size_public_summary,checked_date,source_url,ofgem_source_url,notes
published_flat_rate,Good Energy,Good Energy Limited,not_listed_on_2026_27_ofgem_seg_list,Solar Savings Exclusive,25,fixed for 12 months,yes,yes,yes,not stated on public tariff summary,2026-07-10,https://www.goodenergy.co.uk/products/export-tariffs/,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,For customers whose solar panels and battery were installed by Good Energy Solar; rolls to Solar Savings after the fixed term.
published_flat_rate,OVO,OVO Electricity Ltd,mandatory,SEG Install Exclusive - solar and battery,20,published rate; current terms govern,yes,yes,yes,under 30kW,2026-07-10,https://www.ovoenergy.com/smart-export-guarantee,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,OVO must install the solar panels and home-storage battery; other published criteria also apply.
published_flat_rate,So Energy,So Energy Trading Limited,mandatory,So Solar Smart Export Guarantee - first year,20,published first-year rate; current tariff letter governs,not_stated,yes,yes,public solar-installation pages direct readers to current eligibility and tariff terms,2026-07-10,https://www.so.energy/solar,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,So Energy advertises 20p/kWh with its solar proposition; its supporting article says this is the first-year rate and describes 4.5p/kWh after that. The public summary does not clearly state every import-supply condition.
published_flat_rate,EDF,EDF Energy Customers Limited,mandatory,Export Exclusive 12m V3,18,12-month offer; term sheet governs price status,yes,yes,no,50kW or less,2026-07-10,https://www.edfenergy.com/energy-efficiency/smart-export-tariff,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,"Qualifying EDF or Contact Solar route for solar, battery or both after 2 March 2026; see the tariff terms and term sheet."
published_flat_rate,E.ON Next,E.ON Next Energy Limited,mandatory,Next Export Premium v3,17.5,fixed for 12 months,not_stated,yes,no,residential renewable generation system up to 15kW,2026-07-10,https://www.eonnext.com/electricity-and-gas/smart-export-guarantee,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,For a solar and/or battery installation by E.ON Installation Services from 10 November 2025; the public summary does not state an import-supply requirement.
published_flat_rate,EDF,EDF Energy Customers Limited,mandatory,Export 12m,15,fixed for one year,yes,no,no,solar PV; public page directs readers to eligibility criteria,2026-07-10,https://www.edfenergy.com/energy-efficiency/smart-export-tariff,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,"Available to existing residential EDF electricity customers, subject to published eligibility and terms."
published_flat_rate,OVO,OVO Electricity Ltd,mandatory,SEG Install Exclusive - solar only,15,published rate; current terms govern,yes,yes,no,under 30kW,2026-07-10,https://www.ovoenergy.com/smart-export-guarantee,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,OVO must install the solar panels; other published criteria also apply.
published_flat_rate,ScottishPower,ScottishPower Energy Retail Limited,mandatory,SmartGen Premium Plus,15,variable,yes,yes,no,eligible SEG generation; tariff-specific terms apply,2026-07-10,https://www.scottishpower.co.uk/smart-export-guarantee,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,Requires ScottishPower import supply and solar panels and/or a solar battery installed by ScottishPower.
published_flat_rate,E.ON Next,E.ON Next Energy Limited,mandatory,Next Export Exclusive v3,13,fixed for 12 months,yes,no,no,residential renewable generation system up to 15kW,2026-07-10,https://www.eonnext.com/electricity-and-gas/smart-export-guarantee,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,"Requires an E.ON Next import tariff, excluding the time-of-use tariffs identified by E.ON Next."
published_flat_rate,British Gas,British Gas Trading Limited,mandatory,Export Premium,12,variable,yes,no,no,systems up to 15kW,2026-07-10,https://www.britishgas.co.uk/energy/smart-export-guarantee-tariff.html,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,British Gas must supply the property's electricity; exclusions in the full terms apply.
published_flat_rate,Good Energy,Good Energy Limited,not_listed_on_2026_27_ofgem_seg_list,Solar Savings,12,variable,yes,no,no,not stated on public tariff summary,2026-07-10,https://www.goodenergy.co.uk/products/export-tariffs/,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,Available to Good Energy electricity-supply customers with solar panels; the variable rate can move up or down.
published_flat_rate,Octopus Energy,Octopus Energy Limited,mandatory,Outgoing Octopus,12,variable flat rate,yes,no,no,eligible renewable generation and export metering required,2026-07-10,https://octopus.energy/export-tariffs/,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,Requires an Octopus import account and a compatible import tariff; rates can change with notice.
published_flat_rate,OVO,OVO Electricity Ltd,mandatory,SEG Beyond Exclusive,12,published rate; current terms govern,yes,no,no,under 30kW,2026-07-10,https://www.ovoenergy.com/smart-export-guarantee,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,For OVO electricity-supply customers; the installation does not have to have been supplied by OVO.
published_flat_rate,ScottishPower,ScottishPower Energy Retail Limited,mandatory,SmartGen Premium,12,variable,yes,no,no,eligible SEG generation; tariff-specific terms apply,2026-07-10,https://www.scottishpower.co.uk/smart-export-guarantee,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,Requires ScottishPower import electricity at the same address as the installation.
published_flat_rate,British Gas,British Gas Trading Limited,mandatory,Export Extra,8,variable,yes,no,no,systems over 15kW,2026-07-10,https://www.britishgas.co.uk/energy/smart-export-guarantee-tariff.html,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,British Gas must supply the property's electricity; exclusions in the full terms apply.
published_flat_rate,Utility Warehouse,Electricity Plus Supply Limited,mandatory,UW Smart Export Guarantee - Bundle,8,standard variable,yes,no,no,eligible SEG generation; public tariff terms apply,2026-07-10,https://help.uw.co.uk/article/energy/Feed-In%20Tariff/whats-the-smart-export-guarantee-seg,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,"Requires Utility Warehouse Energy plus two or more additional qualifying services such as broadband, mobile or insurance."
published_flat_rate,E.ON Next,E.ON Next Energy Limited,mandatory,Next Flex Export v1,6,variable,not_stated,no,no,renewable generation system up to 5MW,2026-07-10,https://www.eonnext.com/electricity-and-gas/smart-export-guarantee,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,The public eligibility summary describes new and existing customers but does not state an import-supply requirement.
published_flat_rate,ScottishPower,ScottishPower Energy Retail Limited,mandatory,SmartGen,6,variable,not_stated,no,no,eligible SEG generation; tariff-specific terms apply,2026-07-10,https://www.scottishpower.co.uk/smart-export-guarantee,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,The public tariff summary does not state an import-supply condition for the standard SmartGen route.
published_flat_rate,EDF,EDF Energy Customers Limited,mandatory,SEG Export Variable Value,5.6,variable,yes,no,no,eligible generation up to 5MW; tariff-specific limits can apply,2026-07-10,https://www.edfenergy.com/energy-efficiency/smart-export-tariff,https://www.ofgem.gov.uk/guidance/smart-export-guarantee-supplier-list,Exclusive to EDF electricity customers; EDF says the rate can move up or down.
